,Series_Title,Genre,Overview,Director,Actors
926,Dead Man's Shoes,"Crime, Drama, Thriller",A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,Shane Meadows,Paddy ConsidineGary StretchToby Kebbell
927,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates,Daniel RadcliffeEmma WatsonRupert Grint
928,300,"Action, Drama",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,Gerard ButlerLena HeadeyDavid Wenham
929,Match Point,"Drama, Romance, Thriller","At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Woody Allen,Scarlett JohanssonJonathan Rhys MeyersEmily Mortimer
930,Watchmen,"Action, Drama, Mystery","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,Jackie Earle HaleyPatrick WilsonCarla Gugino
931,Lord of War,"Action, Crime, Drama",An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol,Nicolas CageEthan HawkeJared Leto
932,Saw,"Horror, Mystery, Thriller","Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",James Wan,Cary ElwesLeigh WhannellDanny Glover
933,"Synecdoche, New York",Drama,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",Charlie Kaufman,Philip Seymour HoffmanSamantha MortonMichelle Williams
934,Mysterious Skin,Drama,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Gregg Araki,Brady CorbetJoseph Gordon-LevittElisabeth Shue
935,Jeux d'enfants,"Comedy, Drama, Romance","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",Yann Samuell,Guillaume CanetMarion CotillardThibault Verhaeghe
936,Un long dimanche de fiançailles,"Drama, Mystery, Romance","Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Jean-Pierre Jeunet,Audrey TautouGaspard UllielJodie Foster
937,The Station Agent,"Comedy, Drama","When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Tom McCarthy,Peter DinklagePatricia ClarksonBobby Cannavale
938,21 Grams,"Crime, Drama, Thriller","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",Alejandro G. Iñárritu,Sean PennBenicio Del ToroNaomi Watts
939,Boksuneun naui geot,"Crime, Drama, Thriller","A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",Chan-wook Park,Kang-ho SongShin Ha-kyunBae Doona
940,Finding Neverland,"Biography, Drama, Family",The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Marc Forster,Johnny DeppKate WinsletJulie Christie
941,25th Hour,Drama,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",Spike Lee,Edward NortonBarry PepperPhilip Seymour Hoffman
942,The Butterfly Effect,"Drama, Sci-Fi, Thriller","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Eric Bress,J. Mackye GruberAshton KutcherAmy Smart
943,28 Days Later...,"Drama, Horror, Sci-Fi","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Danny Boyle,Cillian MurphyNaomie HarrisChristopher Eccleston
944,Batoru rowaiaru,"Action, Adventure, Drama","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Kinji Fukasaku,Tatsuya FujiwaraAki MaedaTarô Yamamoto
945,The Royal Tenenbaums,"Comedy, Drama",The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Wes Anderson,Gene HackmanGwyneth PaltrowAnjelica Huston
946,Y tu mamá también,Drama,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Alfonso Cuarón,Maribel VerdúGael García BernalDaniel Giménez Cacho
947,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Chris Columbus,Daniel RadcliffeRupert GrintRichard Harris
948,The Others,"Horror, Mystery, Thriller",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Alejandro Amenábar,Nicole KidmanChristopher EcclestonFionnula Flanagan
949,Blow,"Biography, Crime, Drama","The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",Ted Demme,Johnny DeppPenélope CruzFranka Potente
950,Enemy at the Gates,"Drama, History, War",A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,Jean-Jacques Annaud,Jude LawEd HarrisJoseph Fiennes
951,Minority Report,"Action, Crime, Mystery","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",Steven Spielberg,Tom CruiseColin FarrellSamantha Morton
952,The Hurricane,"Biography, Drama, Sport","The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",Norman Jewison,Denzel WashingtonVicellous ShannonDeborah Kara Unger
953,American Psycho,"Comedy, Crime, Drama","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,Christian BaleJustin TherouxJosh Lucas
954,Lola rennt,"Crime, Drama, Thriller","After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Tom Tykwer,Franka PotenteMoritz BleibtreuHerbert Knaup
955,The Thin Red Line,"Drama, War","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",Terrence Malick,Jim CaviezelSean PennNick Nolte
956,Mulan,"Animation, Adventure, Family","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",Tony Bancroft,Barry CookMing-Na WenEddie Murphy
957,Fear and Loathing in Las Vegas,"Adventure, Comedy, Drama",An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,Terry Gilliam,Johnny DeppBenicio Del ToroTobey Maguire
958,Funny Games,"Crime, Drama, Thriller","Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",Michael Haneke,Susanne LotharUlrich MüheArno Frisch
959,Dark City,"Mystery, Sci-Fi, Thriller","A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",Alex Proyas,Rufus SewellKiefer SutherlandJennifer Connelly
960,Sleepers,"Crime, Drama, Thriller","After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",Barry Levinson,Robert De NiroKevin BaconBrad Pitt
961,Lost Highway,"Mystery, Thriller","Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",David Lynch,Bill PullmanPatricia ArquetteJohn Roselius
962,Sense and Sensibility,"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Ang Lee,Emma ThompsonKate WinsletJames Fleet
963,Die Hard: With a Vengeance,"Action, Adventure, Thriller","John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",John McTiernan,Bruce WillisJeremy IronsSamuel L. Jackson
964,Dead Man,"Adventure, Drama, Fantasy","On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",Jim Jarmusch,Johnny DeppGary FarmerCrispin Glover
965,The Bridges of Madison County,"Drama, Romance",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,Clint EastwoodMeryl StreepAnnie Corley
966,Apollo 13,"Adventure, Drama, History",NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Ron Howard,Tom HanksBill PaxtonKevin Bacon
967,Trois couleurs: Blanc,"Comedy, Drama, Romance","After his wife divorces him, a Polish immigrant plots to get even with her.",Krzysztof Kieslowski,Zbigniew ZamachowskiJulie DelpyJanusz Gajos
968,Falling Down,"Action, Crime, Drama",An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,Joel Schumacher,Michael DouglasRobert DuvallBarbara Hershey
969,Dazed and Confused,Comedy,The adventures of high school and junior high students on the last day of school in May 1976.,Richard Linklater,Jason LondonWiley WigginsMatthew McConaughey
970,My Cousin Vinny,"Comedy, Crime","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",Jonathan Lynn,Joe PesciMarisa TomeiRalph Macchio
971,Omohide poro poro,"Animation, Drama, Romance",A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,Isao Takahata,Miki ImaiToshirô YanagibaYoko Honna
972,Delicatessen,"Comedy, Crime",Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,Marc Caro,Jean-Pierre JeunetMarie-Laure DougnacDominique Pinon
973,Home Alone,"Comedy, Family",An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Chris Columbus,Macaulay CulkinJoe PesciDaniel Stern
974,The Godfather: Part III,"Crime, Drama","Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",Francis Ford Coppola,Al PacinoDiane KeatonAndy Garcia
975,When Harry Met Sally...,"Comedy, Drama, Romance","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",Rob Reiner,Billy CrystalMeg RyanCarrie Fisher
976,The Little Mermaid,"Animation, Family, Fantasy",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,Ron Clements,John MuskerJodi BensonSamuel E. Wright
